DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
169273,169273,UT,Strong,26-Apr-2017,08:44:31,26-Apr-2017,08:44:25
169273,169273,UT,Strong,02-May-2017,00:23:21,02-May-2017,00:23:14
169273,169273,UT,Strong,03-May-2017,02:19:31,03-May-2017,02:19:32
169273,169273,UT,Strong,04-May-2017,02:04:29,04-May-2017,02:04:22
169273,169273,UT,Strong,04-May-2017,10:30:26,04-May-2017,10:30:19
169273,169273,UT,Strong,04-May-2017,20:14:50,04-May-2017,20:14:51
169273,169273,UT,Strong,05-May-2017,01:41:01,05-May-2017,01:40:53
169273,169273,UT,Strong,05-May-2017,20:04:07,05-May-2017,20:04:09
169273,169273,UT,Strong,07-May-2017,22:55:56,07-May-2017,22:55:49
169273,169273,UT,Strong,08-May-2017,02:12:03,08-May-2017,02:12:06
169273,169273,UT,Strong,08-May-2017,02:12:28,08-May-2017,02:12:20
169273,169273,UT,Strong,09-May-2017,01:51:29,09-May-2017,01:51:21
169273,169273,UT,Strong,09-May-2017,02:00:25,09-May-2017,02:00:28
169273,169273,UT,Strong,09-May-2017,03:31:43,09-May-2017,03:31:35
169273,169273,UT,Strong,09-May-2017,11:20:51,09-May-2017,11:20:53
169273,169273,UT,Strong,10-May-2017,03:19:53,10-May-2017,03:19:45
169273,169273,UT,Strong,10-May-2017,10:37:10,10-May-2017,10:37:02
169273,169273,UT,Strong,10-May-2017,22:27:43,08-May-2017,22:27:35
169273,169273,UT,Strong,11-May-2017,02:56:56,11-May-2017,02:56:48
169273,169273,UT,Strong,12-May-2017,07:23:07,12-May-2017,07:23:11
169273,169273,UT,Strong,12-May-2017,08:59:49,12-May-2017,08:59:40
169273,169273,UT,Strong,13-May-2017,02:11:58,13-May-2017,02:12:02
169273,169273,UT,Strong,15-May-2017,01:27:58,15-May-2017,01:28:02
169273,169273,UT,Strong,16-May-2017,08:18:02,16-May-2017,08:17:52
169273,169273,UT,Strong,17-May-2017,00:38:21,17-May-2017,00:38:12
169273,169273,UT,Strong,17-May-2017,02:26:37,17-May-2017,02:26:41
169273,169273,UT,Strong,18-May-2017,01:02:29,18-May-2017,01:02:20
169273,169273,UT,Strong,21-May-2017,02:42:31,21-May-2017,02:42:21
169273,169273,UT,Strong,21-May-2017,02:47:32,21-May-2017,02:47:37
169273,169273,UT,Strong,21-May-2017,02:50:38,21-May-2017,02:50:29
169273,169273,UT,Strong,21-May-2017,07:16:35,21-May-2017,07:16:40
169273,169273,UT,Strong,21-May-2017,23:23:37,21-May-2017,23:23:27
169273,169273,UT,Strong,22-May-2017,20:04:02,22-May-2017,20:03:52
169273,169273,UT,Strong,23-May-2017,02:02:33,23-May-2017,02:02:39
169273,169273,UT,Strong,23-May-2017,11:23:16,23-May-2017,11:23:05
169273,169273,UT,Strong,24-May-2017,01:42:15,24-May-2017,01:42:21
169273,169273,UT,Strong,30-May-2017,01:18:39,30-May-2017,01:18:28
169273,169273,UT,Strong,03-Jun-2017,02:28:37,03-Jun-2017,02:28:26
169273,169273,UT,Strong,04-Jun-2017,01:12:33,04-Jun-2017,01:12:42
169273,169273,UT,Strong,06-Jun-2017,03:09:02,06-Jun-2017,03:08:51
169273,169273,UT,Strong,28-Jun-2017,08:23:13,28-Jun-2017,08:22:59
169273,169273,UT,Strong,28-Jun-2017,08:26:08,28-Jun-2017,08:26:23
169273,169273,UT,Strong,30-Jun-2017,08:09:13,30-Jun-2017,08:08:59
169273,169273,UT,Strong,23-Jul-2017,02:43:22,23-Jul-2017,02:43:06
169273,169273,UT,Strong,26-Jul-2017,01:39:47,26-Jul-2017,01:40:11
169273,169273,UT,Strong,26-Jul-2017,01:40:29,26-Jul-2017,01:40:14
169273,169273,UT,Strong,01-Aug-2017,10:18:54,01-Aug-2017,10:19:20
